PeakID (cmd=annotatePeaks.pl ATAC-H3K27me3_subtracted.bed Gallus_gallus.GRCg6a.dna.toplevel.fa -gtf GalGal6_protein_coding.gtf -gid)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ATAC_R1.mLb.clN_peak_35208	3	33421169	33422044	+	1997	NA	Intergenic	Intergenic	194237	ENSGALG00000046375	ENSGALG00000046375	ENSGALT00000087732			SULT6B1			protein_coding
ATAC_R1.mLb.clN_peak_37497	3	61883824	61884588	+	1941	NA	Intergenic	Intergenic	-2175	ENSGALG00000014876	ENSGALG00000014876	ENSGALT00000050350			TBC1D32			protein_coding
ATAC_R1.mLb.clN_peak_1432	1	21883793	21884689	+	1878	NA	intron (ENSGALG00000008740, intron 1 of 20)	protein_coding-intron (ENSGALG00000008740, intron 1 of 20)	115	ENSGALG00000008740	ENSGALG00000008740	ENSGALT00000030716			POT1			protein_coding
ATAC_R1.mLb.clN_peak_51234	5	40966325	40967597	+	1873	NA	Intergenic	Intergenic	-4306	ENSGALG00000010562	ENSGALG00000010562	ENSGALT00000017187			CEP128			protein_coding
ATAC_R1.mLb.clN_peak_48233	5	3435287	3436232	+	1858	NA	Intergenic	Intergenic	-13835	ENSGALG00000013311	ENSGALG00000013311	ENSGALT00000043126			ANO3			protein_coding
ATAC_R1.mLb.clN_peak_43100	4	25393314	25395149	+	1850	NA	Intergenic	Intergenic	-1304	ENSGALG00000009683	ENSGALG00000009683	ENSGALT00000100249			NEK1			protein_coding
ATAC_R1.mLb.clN_peak_36540	3	49701640	49703410	+	1847	NA	intron (ENSGALG00000013607, intron 1 of 4)	protein_coding-intron (ENSGALG00000013607, intron 1 of 4)	377	ENSGALG00000013607	ENSGALG00000013607	ENSGALT00000022138			FBXO5			protein_coding
ATAC_R1.mLb.clN_peak_51786	5	46805935	46807071	+	1829	NA	intron (ENSGALG00000011116, intron 1 of 12)	protein_coding-intron (ENSGALG00000011116, intron 1 of 13)	-2785	ENSGALG00000011116	ENSGALG00000011116	ENSGALT00000105040			VRK1			protein_coding
ATAC_R1.mLb.clN_peak_60637	9	7801065	7801829	+	1809	NA	intron (ENSGALG00000005256, intron 7 of 15)	protein_coding-intron (ENSGALG00000005256, intron 8 of 16)	73714	ENSGALG00000005256	ENSGALG00000005256	ENSGALT00000047480			EPHA4			protein_coding
ATAC_R1.mLb.clN_peak_58015	8	1436042	1436424	+	1793	NA	intron (ENSGALG00000039327, intron 17 of 25)	protein_coding-intron (ENSGALG00000039327, intron 17 of 26)	97896	ENSGALG00000039327	ENSGALG00000039327	ENSGALT00000100094			VAV3			protein_coding
ATAC_R1.mLb.clN_peak_37154	3	58084642	58085360	+	1732	NA	Intergenic	Intergenic	-24965	ENSGALG00000031843	ENSGALG00000031843	ENSGALT00000070593			ARHGAP18			protein_coding
ATAC_R1.mLb.clN_peak_24373	2	49839938	49841033	+	1703	NA	intron (ENSGALG00000031893, intron 1 of 4)	protein_coding-intron (ENSGALG00000031893, intron 1 of 4)	112	ENSGALG00000031893	ENSGALG00000031893	ENSGALT00000058644			RALA			protein_coding
ATAC_R1.mLb.clN_peak_24540	2	54330192	54331880	+	1690	NA	intron (ENSGALG00000043399, intron 1 of 19)	protein_coding-intron (ENSGALG00000043399, intron 1 of 19)	205	ENSGALG00000043399	ENSGALG00000043399	ENSGALT00000072028			EZH2			protein_coding
ATAC_R1.mLb.clN_peak_24540-2	2	54330192	54331880	+	1690	NA	intron (ENSGALG00000043399, intron 1 of 19)	protein_coding-intron (ENSGALG00000043399, intron 1 of 19)	205	ENSGALG00000043399	ENSGALG00000043399	ENSGALT00000072028			EZH2			protein_coding
ATAC_R1.mLb.clN_peak_52981	6	6730217	6731343	+	1685	NA	Intergenic	Intergenic	-274295	ENSGALG00000002744	ENSGALG00000002744	ENSGALT00000085003			PCDH15			protein_coding
ATAC_R1.mLb.clN_peak_48214	5	3096885	3098098	+	1682	NA	Intergenic	Intergenic	62943	ENSGALG00000039254	ENSGALG00000039254	ENSGALT00000053407			SLC17A6			protein_coding
ATAC_R1.mLb.clN_peak_53465	6	14068129	14068745	+	1677	NA	intron (ENSGALG00000043018, intron 1 of 32)	protein_coding-intron (ENSGALG00000043018, intron 1 of 32)	16163	ENSGALG00000043018	ENSGALG00000043018	ENSGALT00000051363			DLG5			protein_coding
ATAC_R1.mLb.clN_peak_8704	1	136036244	136036780	+	1647	NA	Intergenic	Intergenic	-226375	ENSGALG00000033739	ENSGALG00000033739	ENSGALT00000062765			POU3F3			protein_coding
ATAC_R1.mLb.clN_peak_57045	7	25324659	25325463	+	1645	NA	Intergenic	Intergenic	-28837	ENSGALG00000011596	ENSGALG00000011596	ENSGALT00000018933			PTPN4			protein_coding
ATAC_R1.mLb.clN_peak_15431	12	6497313	6498896	+	1640	NA	Intergenic	Intergenic	16764	ENSGALG00000005128	ENSGALG00000005128	ENSGALT00000091979			PTPDC1			protein_coding
ATAC_R1.mLb.clN_peak_27673	2	106345877	106347345	+	1614	NA	intron (ENSGALG00000015163, intron 1 of 7)	protein_coding-intron (ENSGALG00000015163, intron 1 of 7)	148	ENSGALG00000015163	ENSGALG00000015163	ENSGALT00000036788			RNF138			protein_coding
ATAC_R1.mLb.clN_peak_63829	Z	23820725	23821822	+	1612	NA	intron (ENSGALG00000014960, intron 1 of 11)	protein_coding-intron (ENSGALG00000014960, intron 1 of 11)	120	ENSGALG00000014960	ENSGALG00000014960	ENSGALT00000024127						protein_coding
ATAC_R1.mLb.clN_peak_51711	5	46080902	46082080	+	1612	NA	Intergenic	Intergenic	-16191	ENSGALG00000010999	ENSGALG00000010999	ENSGALT00000077508			DICER1			protein_coding
ATAC_R1.mLb.clN_peak_11242	1	183399706	183400903	+	1598	NA	Intergenic	Intergenic	167899	ENSGALG00000017179	ENSGALG00000017179	ENSGALT00000030073			PDGFD			protein_coding
ATAC_R1.mLb.clN_peak_38707	3	79162507	79163603	+	1592	NA	intron (ENSGALG00000040702, intron 1 of 10)	protein_coding-intron (ENSGALG00000040702, intron 1 of 10)	270	ENSGALG00000040702	ENSGALG00000040702	ENSGALT00000073489			BCKDHB			protein_coding
ATAC_R1.mLb.clN_peak_38713	3	79235705	79236606	+	1580	NA	Intergenic	Intergenic	-3225	ENSGALG00000015874	ENSGALG00000015874	ENSGALT00000101998			TTK			protein_coding
ATAC_R1.mLb.clN_peak_39850	3	94539464	94540548	+	1561	NA	Intergenic	Intergenic	291664	ENSGALG00000053374	ENSGALG00000053374	ENSGALT00000099761						protein_coding
ATAC_R1.mLb.clN_peak_45213	4	54761201	54762359	+	1553	NA	Intergenic	Intergenic	-8929	ENSGALG00000011990	ENSGALG00000011990	ENSGALT00000019558			USP53			protein_coding
ATAC_R1.mLb.clN_peak_62240	KZ626834.1	190658	191139	+	1542	NA	Intergenic	Intergenic	15467	ENSGALG00000048798	ENSGALG00000048798	ENSGALT00000096107						protein_coding
ATAC_R1.mLb.clN_peak_1602	1	23585873	23587531	+	1541	NA	intron (ENSGALG00000009023, intron 2 of 11)	protein_coding-intron (ENSGALG00000009023, intron 2 of 11)	384	ENSGALG00000009023	ENSGALG00000009023	ENSGALT00000014681			ING3			protein_coding
ATAC_R1.mLb.clN_peak_2366	1	33180285	33181843	+	1539	NA	intron (ENSGALG00000009795, intron 34 of 34)	protein_coding-intron (ENSGALG00000009795, intron 34 of 34)	76441	ENSGALG00000009795	ENSGALG00000009795	ENSGALT00000056422			MON2			protein_coding
ATAC_R1.mLb.clN_peak_37121	3	57672339	57672881	+	1529	NA	intron (ENSGALG00000047664, intron 1 of 6)	protein_coding-intron (ENSGALG00000047664, intron 1 of 6)	10361	ENSGALG00000047664	ENSGALG00000047664	ENSGALT00000062715						protein_coding
ATAC_R1.mLb.clN_peak_9270	1	145328641	145330022	+	1522	NA	intron (ENSGALG00000016870, intron 1 of 16)	protein_coding-intron (ENSGALG00000016870, intron 1 of 17)	259	ENSGALG00000016870	ENSGALG00000016870	ENSGALT00000099288			TMTC4			protein_coding
ATAC_R1.mLb.clN_peak_15602	12	7984705	7985562	+	1519	NA	intron (ENSGALG00000005400, intron 12 of 34)	protein_coding-intron (ENSGALG00000005400, intron 12 of 35)	79438	ENSGALG00000005404	ENSGALG00000005404	ENSGALT00000008679			LRTM1			protein_coding
ATAC_R1.mLb.clN_peak_1954	1	27427842	27428902	+	1513	NA	intron (ENSGALG00000009485, intron 1 of 3)	protein_coding-intron (ENSGALG00000009485, intron 1 of 3)	172	ENSGALG00000009485	ENSGALG00000009485	ENSGALT00000038864			IMMP2L			protein_coding
ATAC_R1.mLb.clN_peak_27862	2	108400892	108401529	+	1512	NA	Intergenic	Intergenic	31050	ENSGALG00000030902	ENSGALG00000030902	ENSGALT00000056075						protein_coding
ATAC_R1.mLb.clN_peak_10567	1	173654183	173655014	+	1503	NA	Intergenic	Intergenic	-3469	ENSGALG00000017047	ENSGALG00000017047	ENSGALT00000036465			SUPT20H			protein_coding
ATAC_R1.mLb.clN_peak_63648	Z	20729709	20730985	+	1484	NA	Intergenic	Intergenic	-53827	ENSGALG00000014773	ENSGALG00000014773	ENSGALT00000067060			ERBIN			protein_coding
ATAC_R1.mLb.clN_peak_8487	1	133180546	133181928	+	1453	NA	Intergenic	Intergenic	-15345	ENSGALG00000034944	ENSGALG00000034944	ENSGALT00000105598			UBE3A			protein_coding
ATAC_R1.mLb.clN_peak_28262	2	113266339	113267238	+	1449	NA	intron (ENSGALG00000043172, intron 3 of 5)	protein_coding-intron (ENSGALG00000043172, intron 3 of 5)	50014	ENSGALG00000030112	ENSGALG00000030112	ENSGALT00000063430						protein_coding
ATAC_R1.mLb.clN_peak_39643	3	91756523	91757334	+	1445	NA	Intergenic	Intergenic	26396	ENSGALG00000016361	ENSGALG00000016361	ENSGALT00000026392			FAM110C			protein_coding
ATAC_R1.mLb.clN_peak_48873	5	11464010	11464753	+	1420	NA	intron (ENSGALG00000006074, intron 6 of 14)	protein_coding-intron (ENSGALG00000006074, intron 6 of 14)	137271	ENSGALG00000006074	ENSGALG00000006074	ENSGALT00000009804			SOX6			protein_coding
ATAC_R1.mLb.clN_peak_37417	3	60950223	60950865	+	1411	NA	Intergenic	Intergenic	50791	ENSGALG00000014848	ENSGALG00000014848	ENSGALT00000054501						protein_coding
ATAC_R1.mLb.clN_peak_47303	4	79788251	79790157	+	1400	NA	intron (ENSGALG00000015538, intron 1 of 5)	protein_coding-intron (ENSGALG00000015538, intron 1 of 5)	-15532	ENSGALG00000015538	ENSGALG00000015538	ENSGALT00000065869			KIAA0232			protein_coding
ATAC_R1.mLb.clN_peak_28813	2	120686347	120687559	+	1395	NA	Intergenic	Intergenic	-19752	ENSGALG00000035031	ENSGALG00000035031	ENSGALT00000091726			HEY1			protein_coding
ATAC_R1.mLb.clN_peak_21301	2	7777260	7778864	+	1369	NA	intron (ENSGALG00000036064, intron 1 of 20)	protein_coding-intron (ENSGALG00000036064, intron 1 of 20)	-18747	ENSGALG00000006362	ENSGALG00000006362	ENSGALT00000010283			HTR5A			protein_coding
ATAC_R1.mLb.clN_peak_48190	5	2792078	2793418	+	1356	NA	Intergenic	Intergenic	140201	ENSGALG00000052381	ENSGALG00000052381	ENSGALT00000097732						protein_coding
ATAC_R1.mLb.clN_peak_60781	9	8957526	8958458	+	1350	NA	intron (ENSGALG00000004966, intron 3 of 6)	protein_coding-intron (ENSGALG00000004966, intron 3 of 6)	63218	ENSGALG00000004966	ENSGALG00000004966	ENSGALT00000007965			NYAP2			protein_coding
ATAC_R1.mLb.clN_peak_23351	2	34446743	34447580	+	1348	NA	Intergenic	Intergenic	-4273	ENSGALG00000011243	ENSGALG00000011243	ENSGALT00000102235			DAZL			protein_coding
ATAC_R1.mLb.clN_peak_50151	5	29613101	29614056	+	1344	NA	intron (ENSGALG00000014537, intron 3 of 3)	protein_coding-intron (ENSGALG00000014537, intron 3 of 3)	4076	ENSGALG00000014537	ENSGALG00000014537	ENSGALT00000108086			BMF			protein_coding
ATAC_R1.mLb.clN_peak_58742	8	12511562	12512455	+	1330	NA	intron (ENSGALG00000005418, intron 2 of 16)	protein_coding-intron (ENSGALG00000005418, intron 2 of 16)	2275	ENSGALG00000005418	ENSGALG00000005418	ENSGALT00000067295			FRRS1			protein_coding
ATAC_R1.mLb.clN_peak_38655	3	78253531	78254426	+	1330	NA	Intergenic	Intergenic	-7661	ENSGALG00000015864	ENSGALG00000015864	ENSGALT00000070943			IBTK			protein_coding
ATAC_R1.mLb.clN_peak_15566	12	7640721	7641500	+	1328	NA	TTS (ENSGALG00000005391)	protein_coding-TTS (ENSGALG00000005391)	147	ENSGALG00000005385	ENSGALG00000005385	ENSGALT00000008651			ACTR8			protein_coding
ATAC_R1.mLb.clN_peak_52034	5	49547049	49548311	+	1315	NA	intron (ENSGALG00000029996, intron 1 of 15)	protein_coding-intron (ENSGALG00000029996, intron 1 of 15)	-1327	ENSGALG00000029996	ENSGALG00000029996	ENSGALT00000063660			PPP2R5C			protein_coding
ATAC_R1.mLb.clN_peak_38955	3	81920902	81921380	+	1312	NA	Intergenic	Intergenic	18685	ENSGALG00000049067	ENSGALG00000049067	ENSGALT00000025694						protein_coding
ATAC_R1.mLb.clN_peak_42718	4	20074276	20075223	+	1309	NA	Intergenic	Intergenic	-7336	ENSGALG00000009241	ENSGALG00000009241	ENSGALT00000015038			SFRP2			protein_coding
ATAC_R1.mLb.clN_peak_50617	5	34880855	34882129	+	1304	NA	intron (ENSGALG00000009992, intron 1 of 6)	protein_coding-intron (ENSGALG00000009992, intron 1 of 6)	69120	ENSGALG00000009992	ENSGALG00000009992	ENSGALT00000016236			ARHGAP5			protein_coding
ATAC_R1.mLb.clN_peak_44001	4	38039234	38040277	+	1304	NA	intron (ENSGALG00000010542, intron 1 of 11)	protein_coding-intron (ENSGALG00000010542, intron 1 of 11)	274	ENSGALG00000010542	ENSGALG00000010542	ENSGALT00000017158			PAPSS1			protein_coding
ATAC_R1.mLb.clN_peak_37930	3	67379642	67380396	+	1302	NA	Intergenic	Intergenic	-5525	ENSGALG00000015297	ENSGALG00000015297	ENSGALT00000024687						protein_coding
ATAC_R1.mLb.clN_peak_30601	2	147395822	147397722	+	1288	NA	intron (ENSGALG00000037014, intron 1 of 12)	protein_coding-intron (ENSGALG00000037014, intron 1 of 12)	-19155	ENSGALG00000037014	ENSGALG00000037014	ENSGALT00000080083			TSNARE1			protein_coding
ATAC_R1.mLb.clN_peak_6093	1	94286764	94287651	+	1278	NA	intron (ENSGALG00000015496, intron 1 of 7)	protein_coding-intron (ENSGALG00000015496, intron 1 of 5)	277	ENSGALG00000015496	ENSGALG00000015496	ENSGALT00000024990			CHMP2B			protein_coding
ATAC_R1.mLb.clN_peak_64426	Z	37347024	37347932	+	1271	NA	intron (ENSGALG00000033558, intron 1 of 4)	protein_coding-intron (ENSGALG00000033558, intron 1 of 4)	736	ENSGALG00000033558	ENSGALG00000033558	ENSGALT00000054500						protein_coding
ATAC_R1.mLb.clN_peak_43757	4	35019391	35020210	+	1270	NA	Intergenic	Intergenic	-1267	ENSGALG00000010347	ENSGALG00000010347	ENSGALT00000016846			CCNG2			protein_coding
ATAC_R1.mLb.clN_peak_7588	1	119408265	119409123	+	1257	NA	intron (ENSGALG00000016312, intron 26 of 36)	protein_coding-intron (ENSGALG00000016312, intron 26 of 36)	56308	ENSGALG00000016312	ENSGALG00000016312	ENSGALT00000104090			POLA1			protein_coding
ATAC_R1.mLb.clN_peak_8442	1	132707089	132707675	+	1253	NA	intron (ENSGALG00000029392, intron 3 of 8)	protein_coding-intron (ENSGALG00000029392, intron 3 of 8)	54975	ENSGALG00000029392	ENSGALG00000029392	ENSGALT00000077202			GABRB3			protein_coding
ATAC_R1.mLb.clN_peak_35117	3	32319677	32320551	+	1253	NA	TTS (ENSGALG00000047357)	protein_coding-TTS (ENSGALG00000047357)	11572	ENSGALG00000047357	ENSGALG00000047357	ENSGALT00000091782						protein_coding
ATAC_R1.mLb.clN_peak_41639	4	5123998	5124664	+	1237	NA	intron (ENSGALG00000006623, intron 1 of 29)	protein_coding-intron (ENSGALG00000006623, intron 2 of 30)	4725	ENSGALG00000006623	ENSGALG00000006623	ENSGALT00000079296			ATP11C			protein_coding
ATAC_R1.mLb.clN_peak_58850	8	13396941	13398330	+	1226	NA	intron (ENSGALG00000005552, intron 1 of 14)	protein_coding-intron (ENSGALG00000005552, intron 1 of 13)	754	ENSGALG00000005552	ENSGALG00000005552	ENSGALT00000008906			PTBP2			protein_coding
ATAC_R1.mLb.clN_peak_21486	2	9874656	9875315	+	1221	NA	Intergenic	Intergenic	-45110	ENSGALG00000006599	ENSGALG00000006599	ENSGALT00000063654			ZMYND11			protein_coding
ATAC_R1.mLb.clN_peak_46071	4	64784956	64786150	+	1217	NA	Intergenic	Intergenic	-1989	ENSGALG00000013764	ENSGALG00000013764	ENSGALT00000022357			AASDH			protein_coding
ATAC_R1.mLb.clN_peak_41662	4	5265391	5266532	+	1216	NA	Intergenic	Intergenic	57553	ENSGALG00000006822	ENSGALG00000006822	ENSGALT00000095684			Pcdh19			protein_coding
ATAC_R1.mLb.clN_peak_43518	4	31903994	31904976	+	1204	NA	intron (ENSGALG00000010013, intron 1 of 7)	protein_coding-intron (ENSGALG00000010013, intron 1 of 7)	143	ENSGALG00000010013	ENSGALG00000010013	ENSGALT00000016263			EDNRA			protein_coding
ATAC_R1.mLb.clN_peak_50595	5	34693914	34694841	+	1202	NA	intron (ENSGALG00000009978, intron 1 of 2)	protein_coding-intron (ENSGALG00000009978, intron 1 of 2)	304	ENSGALG00000009978	ENSGALG00000009978	ENSGALT00000032587			DTD2			protein_coding
ATAC_R1.mLb.clN_peak_16751	13	5356057	5356708	+	1200	NA	intron (ENSGALG00000001916, intron 26 of 36)	protein_coding-intron (ENSGALG00000001916, intron 26 of 36)	-76325	ENSGALG00000001895	ENSGALG00000001895	ENSGALT00000065945			PANK3			protein_coding
ATAC_R1.mLb.clN_peak_21237	2	6807422	6808981	+	1190	NA	Intergenic	Intergenic	-47912	ENSGALG00000049653	ENSGALG00000049653	ENSGALT00000101855			KMT2C			protein_coding
ATAC_R1.mLb.clN_peak_50590	5	34600710	34602176	+	1186	NA	Intergenic	Intergenic	-2320	ENSGALG00000009946	ENSGALG00000009946	ENSGALT00000016171			HECTD1			protein_coding
ATAC_R1.mLb.clN_peak_51499	5	44054517	44055665	+	1175	NA	Intergenic	Intergenic	-9953	ENSGALG00000026445	ENSGALG00000026445	ENSGALT00000103438			CALM1			protein_coding
ATAC_R1.mLb.clN_peak_11128	1	181960082	181961377	+	1175	NA	Intergenic	Intergenic	-6088	ENSGALG00000017171	ENSGALG00000017171	ENSGALT00000027735			CWF19L2			protein_coding
ATAC_R1.mLb.clN_peak_14654	11	15039452	15040086	+	1171	NA	Intergenic	Intergenic	-80615	ENSGALG00000005402	ENSGALG00000005402	ENSGALT00000056169			DYNLRB2			protein_coding
ATAC_R1.mLb.clN_peak_62523	Z	1821544	1822462	+	1170	NA	intron (ENSGALG00000035927, intron 1 of 9)	protein_coding-intron (ENSGALG00000035927, intron 1 of 9)	241	ENSGALG00000035927	ENSGALG00000035927	ENSGALT00000059103			ST8SIA5			protein_coding
ATAC_R1.mLb.clN_peak_22233	2	20036565	20037210	+	1166	NA	intron (ENSGALG00000040891, intron 7 of 8)	protein_coding-intron (ENSGALG00000040891, intron 7 of 8)	36897	ENSGALG00000040891	ENSGALG00000040891	ENSGALT00000087138			RSU1			protein_coding
ATAC_R1.mLb.clN_peak_10699	1	175339365	175340428	+	1154	NA	Intergenic	Intergenic	-99993	ENSGALG00000017064	ENSGALG00000017064	ENSGALT00000027564			RFC3			protein_coding
ATAC_R1.mLb.clN_peak_36595	3	50393045	50394557	+	1153	NA	Intergenic	Intergenic	-20684	ENSGALG00000013635	ENSGALG00000013635	ENSGALT00000022182			SCAF8			protein_coding
ATAC_R1.mLb.clN_peak_21977	2	17367320	17368347	+	1140	NA	Intergenic	Intergenic	49487	ENSGALG00000027144	ENSGALG00000027144	ENSGALT00000043857			PTF1A			protein_coding
ATAC_R1.mLb.clN_peak_15612	12	8180138	8181056	+	1123	NA	Intergenic	Intergenic	-116026	ENSGALG00000005404	ENSGALG00000005404	ENSGALT00000008679			LRTM1			protein_coding
ATAC_R1.mLb.clN_peak_28824	2	120792848	120794063	+	1120	NA	TTS (ENSGALG00000040167)	protein_coding-TTS (ENSGALG00000040167)	2704	ENSGALG00000036749	ENSGALG00000036749	ENSGALT00000063044			MRPS28			protein_coding
ATAC_R1.mLb.clN_peak_9658	1	154087330	154088542	+	1112	NA	Intergenic	Intergenic	32538	ENSGALG00000016906	ENSGALG00000016906	ENSGALT00000027327			SPRY2			protein_coding
ATAC_R1.mLb.clN_peak_42891	4	22565305	22565944	+	1101	NA	Intergenic	Intergenic	456001	ENSGALG00000041736	ENSGALG00000041736	ENSGALT00000094978			FSTL5			protein_coding
ATAC_R1.mLb.clN_peak_64474	Z	37945275	37946338	+	1099	NA	Intergenic	Intergenic	-2108	ENSGALG00000015179	ENSGALG00000015179	ENSGALT00000024494			CEP78			protein_coding
ATAC_R1.mLb.clN_peak_63430	Z	17405249	17406593	+	1098	NA	intron (ENSGALG00000014718, intron 1 of 19)	protein_coding-intron (ENSGALG00000014718, intron 1 of 19)	-33551	ENSGALG00000014718	ENSGALG00000014718	ENSGALT00000104375			MAP3K1			protein_coding
ATAC_R1.mLb.clN_peak_39277	3	87161651	87162472	+	1097	NA	Intergenic	Intergenic	-37598	ENSGALG00000016292	ENSGALG00000016292	ENSGALT00000026273						protein_coding
ATAC_R1.mLb.clN_peak_38325	3	72895111	72895921	+	1095	NA	Intergenic	Intergenic	49837	ENSGALG00000042116	ENSGALG00000042116	ENSGALT00000098532			FUT9			protein_coding
ATAC_R1.mLb.clN_peak_18343	14	10079296	10080021	+	1094	NA	Intergenic	Intergenic	193722	ENSGALG00000007291	ENSGALG00000007291	ENSGALT00000039834			C16orf72			protein_coding
ATAC_R1.mLb.clN_peak_16706	13	4897140	4898212	+	1086	NA	intron (ENSGALG00000001942, intron 1 of 12)	protein_coding-intron (ENSGALG00000001942, intron 1 of 12)	214	ENSGALG00000001942	ENSGALG00000001942	ENSGALT00000003005			SPDL1			protein_coding
ATAC_R1.mLb.clN_peak_56622	7	20389711	20390370	+	1085	NA	Intergenic	Intergenic	-98280	ENSGALG00000011069	ENSGALG00000011069	ENSGALT00000018023			FIGN			protein_coding
ATAC_R1.mLb.clN_peak_44007	4	38133595	38134024	+	1067	NA	intron (ENSGALG00000028041, intron 1 of 5)	protein_coding-intron (ENSGALG00000028041, intron 1 of 5)	-75420	ENSGALG00000028041	ENSGALG00000028041	ENSGALT00000105051						protein_coding
ATAC_R1.mLb.clN_peak_6656	1	104845997	104846527	+	1066	NA	Intergenic	Intergenic	131822	ENSGALG00000050657	ENSGALG00000050657	ENSGALT00000107054						protein_coding
ATAC_R1.mLb.clN_peak_50414	5	32379930	32380388	+	1065	NA	Intergenic	Intergenic	-19016	ENSGALG00000009817	ENSGALG00000009817	ENSGALT00000015965			ZNF770			protein_coding
ATAC_R1.mLb.clN_peak_60634	9	7779890	7781003	+	1063	NA	Intergenic	Intergenic	94715	ENSGALG00000005256	ENSGALG00000005256	ENSGALT00000047480			EPHA4			protein_coding
ATAC_R1.mLb.clN_peak_16764	13	5450437	5451235	+	1050	NA	Intergenic	Intergenic	18129	ENSGALG00000001895	ENSGALG00000001895	ENSGALT00000065945			PANK3			protein_coding
ATAC_R1.mLb.clN_peak_33248	3	1892689	1893230	+	1048	NA	intron (ENSGALG00000034048, intron 2 of 2)	protein_coding-intron (ENSGALG00000034048, intron 2 of 2)	-16725	ENSGALG00000050081	ENSGALG00000050081	ENSGALT00000093722						protein_coding
ATAC_R1.mLb.clN_peak_15703	12	9156118	9157426	+	1038	NA	Intergenic	Intergenic	-5381	ENSGALG00000005656	ENSGALG00000005656	ENSGALT00000065186			DENND6A			protein_coding
ATAC_R1.mLb.clN_peak_3042	1	41709486	41711049	+	1036	NA	Intergenic	Intergenic	-1819	ENSGALG00000010992	ENSGALG00000010992	ENSGALT00000017902			SLC6A15			protein_coding
ATAC_R1.mLb.clN_peak_2233	1	31025892	31027313	+	1035	NA	Intergenic	Intergenic	-10219	ENSGALG00000028849	ENSGALG00000028849	ENSGALT00000045186			SCAF11			protein_coding
ATAC_R1.mLb.clN_peak_43073	4	25136929	25137763	+	1033	NA	Intergenic	Intergenic	-83366	ENSGALG00000009655	ENSGALG00000009655	ENSGALT00000076956			AADAT			protein_coding
ATAC_R1.mLb.clN_peak_11508	1	187334671	187335522	+	1029	NA	intron (ENSGALG00000017227, intron 1 of 11)	protein_coding-intron (ENSGALG00000017227, intron 1 of 11)	171	ENSGALG00000017227	ENSGALG00000017227	ENSGALT00000027842			SLC36A4			protein_coding
